"Series","Issue Nr","Full Title","Publisher","Release Date","Creators"
"House of X / Powers of X HC","","","Marvel Comics","Dec 11, 2019","Jonathan Hickman, R.B. Silva, Pepe Larraz"
"The Hunt for Wolverine","1","Secrets And Lives / Hunter's Pryde","Marvel Comics","Apr 25, 2018","Charles Soule, David Marquez, Paulo Siqueira"
"The Hunt for Wolverine","1","","Marvel Comics","Apr 25, 2018","Charles Soule, Paulo Siqueira, David Marquez"
"Hunt For Wolverine: Mystery in Madripoor","1","Hunt for Wolverine - Hunt for Wolverine","Marvel Comics","May 23, 2018","Jim Zub, Thony Silas"
"Hunt For Wolverine: Mystery in Madripoor","2","Hunt for Wolverine ","Marvel Comics","Jun 27, 2018","Jim Zub, Thony Silas"
"Hunt For Wolverine: Mystery in Madripoor","3","Hunt for Wolverine ","Marvel Comics","Jul 25, 2018","Jim Zub, Thony Silas"
"Hunt For Wolverine: Mystery in Madripoor","4","Hunt for Wolverine ","Marvel Comics","Aug 22, 2018","Jim Zub, Leonard Kirk, Thony Silas"
"Hunt For Wolverine: The Adamantium Agenda","1","Hunt for Wolverine ","Marvel Comics","May 09, 2018","Tom Taylor, R.B. Silva"
"Hunt For Wolverine: The Adamantium Agenda","2","Hunt for Wolverine ","Marvel Comics","Jun 13, 2018","Tom Taylor, R.B. Silva"
"Hunt For Wolverine: The Adamantium Agenda","3","","Marvel Comics","Jul 11, 2018","Tom Taylor, R.B. Silva"
"Hunt For Wolverine: The Adamantium Agenda","4","Hunt for Wolverine ","Marvel Comics","Aug 08, 2018","Tom Taylor, R.B. Silva, Adriano Di Benedetto"
"Hunt For Wolverine: The Claws of a Killer","1","Hunt for Wolverine ","Marvel Comics","May 16, 2018","Mariko Tamaki, Jackson 'Butch' Guice, Butch Guice"
"Hunt For Wolverine: The Claws of a Killer","2","Hunt for Wolverine ","Marvel Comics","Jun 20, 2018","Mariko Tamaki, Jackson 'Butch' Guice, Butch Guice"
"Hunt For Wolverine: The Claws of a Killer","3","Hunt for Wolverine ","Marvel Comics","Jul 18, 2018","Mariko Tamaki, Butch Guice"
"Hunt For Wolverine: The Claws of a Killer","4","Hunt for Wolverine ","Marvel Comics","Aug 15, 2018","Mariko Tamaki, Mack Chater, Butch Guice"
"Hunt For Wolverine: Weapon Lost","1","Hunt for Wolverine ","Marvel Comics","May 02, 2018","Charles Soule, Matteo Buffagni"
"Hunt For Wolverine: Weapon Lost","2","Hunt for Wolverine ","Marvel Comics","Jun 06, 2018","Charles Soule, Matteo Buffagni"
"Hunt For Wolverine: Weapon Lost","3","Hunt for Wolverine ","Marvel Comics","Jul 04, 2018","Charles Soule, Matteo Buffagni"
"Hunt For Wolverine: Weapon Lost","4","Hunt for Wolverine ","Marvel Comics","Aug 01, 2018","Charles Soule, Matteo Buffagni"
"The Immortal Hulk HC","1","","Marvel Comics","Oct 02, 2019","Al Ewing, Paul Hornschemeier, Lee Garbett"
"The Immortal Hulk HC","2","The Immortal Hulk, Vol. 2","Marvel Comics","Jul 08, 2020",""
"Infinity War","1","Infinity War - Chthonic Maneuvers","Marvel Comics","Apr 22, 1992","Jim Starlin, Ron Lim, Al Milgrom"
"Infinity War","2","Infinity War - Ethereal Revisionism","Marvel Comics","May 26, 1992","Jim Starlin, Ron Lim, Al Milgrom"
"Infinity War","3","Infinity War - Nefarious Rhapsodies","Marvel Comics","Jun 23, 1992","Jim Starlin, Ron Lim, Al Milgrom"
"Infinity War","4","Infinity War - Mortiferous Artifice","Marvel Comics","Jul 28, 1992","Jim Starlin, Ron Lim, Al Milgrom"
"Infinity War","5","Infinity War - Psychomachia!","Marvel Comics","Aug 26, 1992","Jim Starlin, Ron Lim, Al Milgrom"
"Infinity War","6","Infinity War - The Animus Engagement","Marvel Comics","Sep 23, 1992","Jim Starlin, Ron Lim, Al Milgrom"
"Iron Man, Vol. 1","200","Resolutions","Marvel Comics","Nov 1985","Denny O'Neil, Mark D. Bright, Ian Akin"
"The Life of Captain Marvel, Vol. 2","1","","Marvel Comics","Jul 18, 2018","Margaret Stohl, Carlos Pacheco"
"Man of War, Vol. 2","1","A Man At War","Malibu Comics","Apr 1993","Dan Danko, Tom Mason, Bryan Lee"
"Marauders, Vol. 1","1","","Marvel Comics","Oct 23, 2019","Gerry Duggan, Matteo Lolli"
"Marauders, Vol. 1","2","The Red Coronation","Marvel Comics","Nov 20, 2019","Gerry Duggan, Matteo Lolli"
"Marauders, Vol. 1","3","The Bishop in Black","Marvel Comics","Dec 04, 2019","Gerry Duggan, Michele Bandini, Elisabetta D'Amico"
"Marauders, Vol. 1","4","The Red Bishop","Marvel Comics","Jan 29, 2020","Gerry Duggan, Lucas Werneck"
"Marauders, Vol. 1","5","A Time To Sow","Marvel Comics","Jan 01, 2020","Gerry Duggan, Matteo Lolli, Lucas Werneck"
"Marauders, Vol. 1","6","A Time to Reap","Marvel Comics","Jan 22, 2020","Gerry Duggan, Matteo Lolli"
"Marauders, Vol. 1","7","From Emma, With Love","Marvel Comics","Feb 05, 2020","Gerry Duggan, Stefano Caselli"
"Marauders, Vol. 1","8","Furious Anger","Marvel Comics","Feb 19, 2020","Gerry Duggan, Stefano Caselli"
"Marauders, Vol. 1","9","Journey to the Center of Pyro","Marvel Comics","Mar 04, 2020","Gerry Duggan, Matteo Lolli"
"Marauders, Vol. 1","10","Leave None To Tell the Tale","Marvel Comics","May 27, 2020","Gerry Duggan, Stefano Caselli"
"Marvel Comics Presents, Vol. 1","2","Save the Tiger / Elements of Terror / Crossing Lines, Part 2: the Bad Guy / Chapter 2: First Witness / Chapter 2: Bait /","Marvel Comics","May 17, 1988","Steve Gerber, Doug Moench, Al Milgrom"
"Marvel Comics Presents, Vol. 1","3","Save the Tiger / Elements of Terror / Crossing Lines, Part 3: the Gals / Part 3: Ritual and Belief / Part 3: Fish / the Measure of a Man","Marvel Comics","May 31, 1988","Steve Gerber, Doug Moench, Al Milgrom"
"Marvel Comics Presents, Vol. 1","4","Save the Tiger / Elements of Terror / Crossing Lines, Part 4: the Ordeal / Part 4: Rage and Design / Part 4: Water / Silent Thunder","Marvel Comics","Jun 14, 1988","Steve Gerber, Doug Moench, Al Milgrom"
"Marvel Comics Presents, Vol. 1","5","Save the Tiger / Elements of Terror / Crossing Lines, Part 5: the Rescue / Part 5: God and Country / Part 5: Lures / You'll See It When You Believe It","Marvel Comics","Jun 28, 1988","Steve Gerber, Doug Moench, Terry Kavanagh"
"Marvel Comics Presents, Vol. 1","7","Save the Tiger / Elements of Terror / Crossing Lines, Part 7: Things Get Worse / Part 7: Boxes / Part 7: Hooks / From Sea To Deadly Sea","Marvel Comics","Jul 26, 1988","Steve Gerber, Doug Moench, Chris Claremont"
"Marvel Comics Presents, Vol. 1","8","Save the Tiger / Elements of Terror / Crossing Lines, Part 8: the Fight / Part 8: Prisoners / Part 8: Kills / One Day At a Time","Marvel Comics","Aug 09, 1988","Steve Gerber, Doug Moench, Sholly Fisch"
"Marvel Comics Presents, Vol. 1","9","Save the Tiger / Elements of Terror, Part 9: the Confrontation / Part 9: Breaking Faith / in the Dark / a Piece of Cake","Marvel Comics","Aug 23, 1988","Scott Lobdell, Steve Gerber, Marcus McLaurin"
"Marvel Comics Presents, Vol. 1","10","Wolverine / Man-Thing / Machine Man / Colossus","Marvel Comics","Jan 01, 1989","Steve Gerber, Ann Nocenti, Chris Claremont"
"Marvels","1","A Time of Marvels","Marvel Comics","Nov 09, 1993","Kurt Busiek"
"Metalocalypse Dethklok","3","","Dark Horse Comics","Dec 29, 2010","Brendon Small, Lucas Marangon"
"Mighty Mutanimals, Vol. 2","1","The Mighty Mutanimals!!","Archie Comic Publications","Apr 1992","Dean Clarrain, Garrett Ho, John D'Agostino"
"New Mutants, Vol. 4","1","The Sextant","Marvel Comics","Nov 06, 2019","Jonathan Hickman, Ed Brisson, Rod Reis"
"New Mutants, Vol. 4","2","Space Jail","Marvel Comics","Nov 27, 2019","Jonathan Hickman, Rod Reis"
"New Mutants, Vol. 4","3","To The Grave","Marvel Comics","Dec 11, 2019","Ed Brisson, Flaviano"
"New Mutants, Vol. 4","4","Fast and Furious","Marvel Comics","Dec 18, 2019","Ed Brisson, Marco Failla"
"New Mutants, Vol. 4","5","Endangered Birds","Marvel Comics","Jan 08, 2020","Jonathan Hickman, Rod Reis"
"New Mutants, Vol. 4","6","Not as Hoped","Marvel Comics","Jan 29, 2020","Jonathan Hickman, Flaviano Armentaro"
"New Mutants, Vol. 4","7","Spoilers","Marvel Comics","Feb 19, 2020","Jonathan Hickman, Rod Reis"
"New Mutants, Vol. 4","8","A-Hunting We Will Go","Marvel Comics","Feb 26, 2020","Ed Brisson, Marco Failla"
"New Mutants, Vol. 4","9","Something Rotten In...","Marvel Comics","Mar 11, 2020","Ed Brisson, Flaviano"
"New Mutants, Vol. 4","10","Parasomnia","Marvel Comics","Jun 10, 2020","Ed Brisson, Flaviano"
"New Mutants, Vol. 4","11","Ice Cream Dreams","Marvel Comics","Jul 22, 2020","Ed Brisson, Flaviano"
"The Punisher, Vol. 12","1","World War Frank","Marvel Comics","Aug 22, 2018","Matthew Rosenberg, Szymon Kudranski"
"Real Heroes","2","","Marvel Comics","Aug 1994",""
"Return of Wolverine TP","","","Marvel Comics","Mar 2019","Charles Soule, Steve McNiven, Declan Shalvey"
"Sabretooth","1","Home is the Hunter","Marvel Comics","Aug 1993","Larry Hama, Michael Golden, Travis Charest"
"The Sandman, Vol. 1","2","The Night Of The Spider","DC Comics","May 1975","Michael J. Fleisher, Ernie Chan, Mike Royer"
"The Spectacular Spider-Man, Vol. 1","191","The Valley","Marvel Comics","Jun 23, 1992","J.M. DeMatteis, Sal Buscema"
"Spider-Man, Vol. 1","25","Why Me?","Marvel Comics","Aug 1992","Terry Kavanagh, Chris Marrinan, Mark Stegbauer"
"Spider-Man, Firestar and Iceman","1","Danger In Denver","Marvel Comics","1983",""
"Spider-Man, Storm, and Power Man","1","Smokescreen / Where There's Smoke...","Marvel Comics","Dec 1981",""
"Strange Academy","1","","Marvel Comics","Mar 04, 2020","Skottie Young, Humberto Ramos"
"Strange Academy","2","","Marvel Comics","Jul 08, 2020","Skottie Young, Humberto Ramos"
"Street Fighter II (Tokuma Comics)","4","","Tokuma Comics","Jul 1994",""
"Superman, Vol. 1","298","Clark Kent, Get Out Of My Life!","DC Comics","Apr 1976","Cary Bates, Curt Swan, Bob Oksner"
"Superman, Vol. 1","305","The Man Who Toyed With Death","DC Comics","Nov 1976","Martin Pasko, Curt Swan, Bob Oksner"
"Teenage Mutant Ninja Turtles Adventures, Vol. 2","30","Midnight Sun, Part Three","Archie Comic Publications","Mar 1992","Chris Allan, Rod Ollerenshaw"
"Thor, Vol. 1","450","When Gods Make War / The End Of Ego / And They Shall Call Thee...Bloodaxe","Marvel Comics","Jun 23, 1992","Patrick Olliffe, Ron Frenz, Gary Hartle"
"Thor, Vol. 5","1","God Of Thunder Reborn / The Grace Of Thor","Marvel Comics","Jun 13, 2018","Jason Aaron, Christian Ward, Michael del Mundo"
"Thor, Vol. 5","2","The Odinson Boys Ride Again","Marvel Comics","Jun 27, 2018","Jason Aaron, Michael del Mundo"
"Thor, Vol. 5","3","A Lovely Day In Hel For A Wedding","Marvel Comics","Jul 18, 2018","Jason Aaron, Mike Del Mundo"
"Tony Stark: Iron Man","1","Self-Made Man","Marvel Comics","Jun 20, 2018","Dan Slott, Valerio Schiti"
"Tony Stark: Iron Man","2","Self-Made Man, Part Two","Marvel Comics","Jul 18, 2018","Dan Slott, Valerio Schiti"
"The Umbrella Academy TP","1","Apocalypse Suite","Dark Horse Comics","Jun 19, 2008","Gerard Way, Gabriel Bá"
"The Umbrella Academy TP","2","Dallas","Dark Horse Comics","May 22, 2013","Gerard Way, Gabriel Ba'"
"The Umbrella Academy TP","3","Hotel Oblivion, Hotel Oblivion","Dark Horse Comics","Oct 23, 2019","Gerard Way, Gabriel Bá"
"Uncanny X-Men, Vol. 1","213","Mutant Massacre - Psylocke","Marvel Comics","Jan 1987","Chris Claremont, Alan Davis, Paul Neary"
"Uncanny X-Men, Vol. 1","214","With Malice Toward All!","Marvel Comics","Feb 1987","Chris Claremont, Barry Windsor-Smith, Bob Wiacek"
"Uncanny X-Men, Vol. 1","218","Charge Of The Light Brigade","Marvel Comics","Jun 1987","Chris Claremont, Marc Silvestri, Dan Green"
"Uncanny X-Men, Vol. 1","221","Death By Drowning!","Marvel Comics","Sep 1987","Chris Claremont, Marc Silvestri, Dan Green"
"Uncanny X-Men, Vol. 1","230","Twas The Night...","Marvel Comics","Jun 1988","Chris Claremont, Marc Silvestri, Joe Rubinstein"
