,rank,trend,season,episode,name,start,total_votes,average_rating
41,"46,373",1,1,42,Sakuretsu! Gyojin Arlong Umi kara no Moukougeki!,2000,247,7.9
42,"39,813",1,1,43,Gyojin Teikoku no Owari! Nami wa Ore no Nakama Da!,2000,281,8.2
43,"48,508",1,1,44,Egao no Tabidachi! Saraba Furusato Cocoyashi Mura,2000,245,7.7
44,"50,957",1,1,45,Joukinkubi! Mugiwara no Luffy Yo ni Shirewataru,2000,235,7.6
45,"65,155",2,1,46,Mugiwara o Oe! Chiisana Buggy no Daibouken,2000,245,6.3
46,"64,435",2,1,47,Omachikane! Aa Fukkatsu no Buggy Senchou!,2000,249,6.3
47,"48,156",2,1,48,Hajimari to Owari no Machi: Loguetown Jouriku,2000,241,7.8
48,"45,526",1,1,49,Sandai Kitetsu to Yubashiri! Zoro no Shintou to Onna Souchou,2000,253,7.9
49,"54,542",1,1,50,Usopp Tai Kozure no Daddy: Mahiru no Kettou,2000,233,7.3
50,"62,180",2,1,51,Honoo no Ryouri Battle? Sanji VS Bijin Chef,2000,225,6.8
51,"46,194",1,1,52,Buggy no Revenge! Shokeidai de Warau Otoko!,2000,236,8.1
52,"44,331",1,1,53,Densetsu wa Hajimatta! Mezase Grand Line,2001,243,8.2
53,"60,787",2,1,54,Aratanaru Bouken no Yokan! Nazo no Shoujo Apis,2001,213,7.1
54,"64,969",2,1,55,Kiseki no Seibutsu! Apis no Himitsu to Densetsu no Shima,2001,211,6.8
55,"66,538",2,1,56,Eric Shutsugeki! Gunkanjima kara no Daidasshutsu!,2001,210,6.7
56,"68,523",2,1,57,Zekkai no Kotou! Densetsu no Lost Island,2001,207,6.6
57,"67,203",2,1,58,Haikyo no Kettou! Kinpaku no Zoro VS Erik!,2001,201,6.8
58,"63,845",1,1,59,Luffy Kanzen Houi! Teitoku Nelson no Hisaku,2001,199,7.1
59,"63,498",1,1,60,Oozora o Mau Mono! Yomigaeru Sennen no Densetsu!,2001,195,7.2
60,"57,812",1,1,61,Ikari no Kecchaku! Red Line o Norikoero!,2001,199,7.6
61,"53,402",1,1,62,Saisho no Toride? Kyodai Kujira Laboon Arawaru,2001,215,7.7
62,"56,518",1,1,63,Otoko no Yakusoku! Luffy to Kujira Saikai no Chikai,2001,216,7.4
63,"55,169",1,1,64,Kaizoku Kangei no Machi? Whiskey Peak Jouriku,2001,206,7.7
64,"49,747",1,1,65,Sakuretsu Santouryuu! Zoro VS Baroque Works!,2001,214,8.1
65,"51,563",1,1,66,Shinken Shoubu! Luffy VS Zoro Nazo no Daikettou!,2001,214,7.9
66,"55,797",1,1,67,Oujo Vivi o Todokero! Luffy Kaizoku Dan Shukkou,2001,203,7.7
67,"67,656",2,1,68,Ganbare Coby! Coby-Meppo Kaigun Funtou Ki,2001,205,6.7
68,"66,940",1,1,69,Coby-Meppo no Ketsui! Garp Chuujou no Oyagokoro,2001,202,6.8
69,"60,498",1,1,70,Taiko no Shima! Little Garden ni Hisomu Kage!,2001,203,7.3
70,"57,880",1,1,71,Dekkai Kettou! Kyojin Dorry to Brogy,2001,204,7.5
71,"60,685",1,1,72,Luffy Ikaru! Seinaru Kettou ni Hiretsu na Wana!,2001,202,7.3
72,"59,987",1,1,73,Brogy Shouri no Goukyuu! Elbaf no Kecchaku,2001,200,7.4
73,"58,329",1,1,74,Ma no Candle! Munen no Namida to Ikari no Namida,2001,202,7.5
74,"57,020",1,1,75,Luffy o Osou Maryoku! Colors Trap,2001,197,7.7
75,"56,849",1,1,76,Iza Hangeki! Usopp no Kiten to Kaenboshi!,2001,203,7.6
76,"58,752",2,1,77,Saraba Kyojin no Shima! Arabasuta o Mezase,2001,200,7.5
77,"60,499",1,1,78,Nami ga Byouki? Umi ni Furu Yuki no Mukou ni!,2001,203,7.3
78,"58,477",1,1,79,Kishuu! Bliking Gou to Blik no Wapol,2001,196,7.6
79,"57,488",1,1,80,Isha no Inai Shima? Na mo Naki Kuni no Bouken!,2001,195,7.7
80,"58,903",1,1,81,Happy kai? Majo to Yobareta Isha!,2001,189,7.7
81,"59,597",1,1,82,Dolton no Kakugo! Wapol Gundan Shima ni Jouriku,2001,191,7.6
82,"56,391",1,1,83,Yuki no Sumu Shima! Drum-Rocky o Nobore!,2001,200,7.7
83,"56,392",1,1,84,Tonakai wa Aoppana! Chopper no Himitsu,2001,200,7.7
84,"50,246",1,1,85,Hamidashi Mono no Yume! Yabuisha Hiluluk!,2001,211,8.1
85,"40,318",3,1,86,Hiluluk no Sakura to Uketsugareyuku Ishi!,2001,251,8.6
86,"55,480",1,1,87,Versus Wapol Gundan! Bakubaku no Mi no Nouryoku!,2001,194,7.9
87,"57,979",1,1,88,Zoan-kei Akuma no Mi! Chopper Nanadan Henkei,2001,193,7.7
88,"58,679",1,1,89,Oukoku no Shihai Owaru Toki! Shinnen no Hata wa Eien ni,2001,190,7.7
89,"48,464",1,1,90,Hiluluk no Sakura! Drum Rocky no Kiseki,2001,211,8.3
90,"55,722",1,1,91,Sayonara Drum-tou! Boku wa Umi e Deru!,2001,193,7.9
91,"59,157",1,1,92,Arabasta no Eiyuu to Senjou no Ballerina,2001,193,7.6
92,"64,160",1,1,93,Iza Sabaku no Kuni e! Ame o Yobu Kona to Hanrangun,2001,192,7.2
93,"46,583",2,1,94,Gouketsu-tachi no Saikai! Yatsu no Na wa Hiken no Ace,2001,217,8.4
94,"50,579",1,1,95,Ace to Luffy! Atsuki Omoi to Kyoudai no Kizuna,2002,209,8.1
95,"62,235",1,1,96,Midori no Machi Erumaru to Kung Fu Jugon!,2002,195,7.3
96,"62,436",1,1,97,Suna no Kuni no Bouken! Ennetsu no Daichi ni Sumu Mamono,2002,189,7.4
97,"65,770",1,1,98,Sabaku no Kaizokudan Toujou! Jiyuu ni Ikiru Otoko-tachi,2002,185,7.2
98,"68,255",1,1,99,Nisemono no Iji! Kokoro no Hanrangun Kamyu!,2002,180,7.1
99,"61,961",1,1,100,Hanrangun Senshi Kouza! Vivi ni Chikatta Yume!,2002,181,7.6
100,"72,998",1,1,101,Kagerou no Kettou! Ace vs Otoko Scorpion,2002,177,6.8
101,"71,389",1,1,102,Iseki to Mayoigo! Vivi to Nakama to Kuni no Katachi,2002,168,7.1
102,"63,663",1,1,103,Spiders Cafe ni 8-ji Teki Kanbu Shuugou,2002,179,7.5
103,"58,829",1,1,104,Luffy Tai Vivi! Nakama ni Kakeru Namida no Chikai,2002,180,7.9
104,"60,105",1,1,105,Alabasta Sensen! Yume no Machi Rainbase,2002,175,7.9
105,"56,328",1,1,106,Zettai Zetsumei no Wana! Rain Dinners Totsunyuu,2002,181,8.1
106,"60,104",1,1,107,Utopia Sakusen Hatsudou! Ugokidashita Uneri,2002,175,7.9
107,"56,555",1,1,108,Kyoufu no Bananawani to Mr. Prince,2002,180,8.1
108,"53,973",1,1,109,Gyakuten Dai Dasshutsu e no Kagi! Doru-Doru Ball!,2002,187,8.2
109,"48,469",1,1,110,Nasake Muyou no Shitou! Luffy vs Crocodile,2002,206,8.4
110,"59,499",1,1,111,Kiseki e no Shissou! Arabasta Doubutsu Land,2002,182,7.8
111,"55,809",2,1,112,Hanrangun Tai Kokuougun! Kessen wa Alubarna!,2002,188,8.0
112,"59,732",3,1,113,Nageki no Alubarna! Gekitou Carue Taichou!,2002,181,7.8
113,"58,350",3,1,114,Nakama no Yume ni Chikau! Kettou Mogurazuka 4-bangai,2002,182,7.9
114,"55,561",3,1,115,Honjitsu Daikoukai! Mane-Mane Montage!,2002,189,8.0
115,"59,833",3,1,116,Nami ni Henshin! Bon Clay Renpatsu Ballet Kenpou,2002,176,7.9
116,"57,410",3,1,117,Nami no Senpuu Chuuihou! Clima Takt Sakuretsu,2002,181,8.0
117,"59,832",3,1,118,Ouke ni Tsutawaru Himitsu! Kodai Heiki Pluton,2002,176,7.9
118,"46,419",4,1,119,Gouken no Gokui! Koutetsu o Kiru Chikara to Mono no Kokyuu,2002,213,8.5
119,"59,563",2,1,120,Tatakai wa Owatta! Kooza ga Kakageta Shiroi Hata,2002,177,7.9
120,"55,099",2,1,121,Vivi no Koe no Yukue! Hero wa Maiorita!,2002,182,8.2
121,"52,453",2,1,122,Suna Wani to Mizu Luffy! Kettou Dai 2 Round,2002,185,8.4
122,"55,523",2,1,123,Wanippoi! Ouke no Haka e Hashire Luffy!,2002,180,8.2
123,"56,769",2,1,124,Akumu no Toki Semaru! Koko wa Sunasunadan Himitsu Kichi,2002,179,8.1
124,"49,624",2,1,125,Idainaru Tsubasa! Waga Na wa Kuni no Shugoshin Pell,2002,195,8.5
125,"32,949",11,1,126,Koeteiku! Arabasta ni Ame ga Furu!,2002,302,9.0
126,"58,193",3,1,127,Buki yo Saraba! Kaizoku to Ikutsuka no Seigi,2002,178,8.0
127,"57,931",3,1,128,Kaizoku-tachi no Utage to Arabasta Dasshutsu Sakusen!,2002,179,8.0
128,"46,420",4,1,129,Hajimari wa Ano Hi! Vivi ga Kataru Boukentan!,2002,213,8.5
129,"51,545",3,1,130,Kiken na Kaori! Shichininme wa Nico Robin!,2002,194,8.3
130,"74,683",1,1,131,Hajimete no Kranke! Rumble Ball Hiwa,2002,161,7.0
131,"79,130",1,1,132,Koukaishi no Hanran! Yuzurenai Yume no Tame ni!,2002,156,6.8
132,"77,965",1,1,133,Uketsugareru Recipe! Curry no Tetsujin Sanji,2002,155,6.9
133,"77,964",1,1,134,Sakasete Misemasu! Otoko Usopp Hasshakudama,2002,155,6.9
134,"76,295",1,1,135,Uwasa no Kaizokugari! Sasurai no Kenshi Zoro,2002,156,7.0
135,"82,239",1,1,136,Yagi no Shima no Zenny to Yama no Naka no Kaizokusen!,2002,151,6.7
136,"79,299",1,1,137,Moukarimakka? Kanekashi Zenny no Yabou!,2002,151,6.9
137,"84,878",1,1,138,Shima no Otakara no Yukue! Zenny Kaizokudan Shutsugeki!,2002,148,6.6
138,"76,099",1,1,139,Niji-iro no Kiri Densetsu! Ruluka Tou no Roujin Henzo,2003,148,7.2
139,"79,300",1,1,140,Eien no Kuni no Juunin! Pumpkin Kaizokudan!,2003,151,6.9
140,"81,301",1,1,141,Furusato e no Omoi! Dasshutsu Funou no Kaizoku Hakaba!,2003,145,6.9
141,"82,792",-,1,142,Ransen Hisshi! Wetton no Yabou to Niji no Tou,2003,145,6.8
142,"71,522",-,1,143,Soshite Densetsu ga Hajimaru! Iza Niji no Kanata e,2003,150,7.5
143,"71,622",1,1,144,Ubawareta Log! Salvage-ou Mashira!,2003,158,7.3
144,"68,635",1,1,145,Kaibutsu Toujou! Shirohige Ichimi ni wa Te o Dasuna,2003,160,7.5
145,"65,915",2,1,146,Yume o Miruna! Azakeri no Machi Mock Town!,2003,157,7.8
146,"67,833",2,1,147,Kaizoku no Takami! Yume o Kataru Otoko to Kaitei Tansaku Ou,2003,163,7.5
147,"69,456",1,1,148,Densetsu no Ichizoku! &quot;Usotsuki Norland&quot;,2003,157,7.5
148,"71,870",1,1,149,Kumo Kaji Ippai! Southbird o Oe!,2003,153,7.4
149,"63,762",2,1,150,Yume wa Kanawanai!? Bellamy VS Saruyama Rengou,2003,157,8.0
150,"42,152",7,1,151,Ichioku no Otoko! Sekai Saikou Kenryoku to Kaizoku Kurohige,2003,231,8.7
151,"62,079",2,1,152,Fune wa Sora o Yuku! Knock-Up Stream ni Nore,2003,159,8.1
152,"65,388",1,1,153,Koko wa Sora no Umi! Sora no Kishi to Tengoku no Mon,2003,155,7.9
153,"69,460",1,1,154,Kami no Kuni Skypiea! Kumo no Nagisa no Tenshi-tachi,2003,157,7.5
154,"70,926",1,1,155,Kindan no Seichi! Kami no Sumu Shima to Ten no Sabaki!,2003,152,7.5
155,"68,298",1,1,156,Hayaku mo Hanzaisha!? Skypiea no Hou no Bannin,2003,157,7.6
156,"69,103",1,1,157,Dasshutsu Naru ka!? Ugokihajimeta Kami no Shiren!,2003,154,7.6
157,"69,696",1,1,158,Lovely-doori no Wana! Zennounaru God Enel,2003,152,7.6
158,"68,843",1,1,159,Susume Karasumaru! Ikenie no Saidan o Mezase,2003,151,7.7
159,"65,644",1,1,160,Seizonritsu 10%! Mantra-tsukai no Shinkan Satori!,2003,158,7.8
160,"68,299",1,1,161,&quot;Tama no Shiren&quot; no Kyoui! Mayoi no Mori no Shitou,2003,157,7.6
161,"65,913",1,1,162,Chopper Ayaushi! Motokami Tai Shinkan Shura,2003,157,7.8
162,"67,431",1,1,163,Makafushigi! Himo no Shiren to Koi no Shiren!?,2003,152,7.8
163,"67,432",1,1,164,Shandra no Hi o Tomose! Senshi Wiper,2003,152,7.8
164,"68,541",1,1,165,Tenkuu no Ougonkyou Jaya! Mezase Kami no Yashiro!,2003,152,7.7
165,"72,178",1,1,166,Ougon Zen'yasai! &quot;Vearth&quot; e no Omoi!,2003,152,7.4
166,"70,690",1,1,167,God Enel Toujou!! Ikinokori e no Aubade,2003,149,7.6
167,"68,822",1,1,168,Kibamuku Uwabami! Tsui ni Hajimaru Survival Game,2003,155,7.6
168,"62,885",1,1,169,Sutemi no Haigeki (Reject)! &quot;Senki&quot; Wiper no Kakugo,2003,160,8.0
169,"62,572",1,1,170,Kuuchuu no Gekisen! Kaizoku Zoro VS Senshi Braham,2003,161,8.0
170,"66,501",1,1,171,Unaru Burn Bazooka!! Luffy VS Senki Wiper,2003,155,7.8
171,"67,433",1,1,172,Numa no Shiren! Chopper VS Shinkan Gedatsu!!,2003,152,7.8
172,"65,655",1,1,173,Muteki no Nouryoku! Akasareru Enel no Shoutai,2003,154,7.9
173,"66,502",1,1,174,Maburoshi no Miyako! Yuudai Naru Shandra no Iseki!!,2003,155,7.8
174,"67,729",1,1,175,Seizonritsu 0%!! Chopper VS Shinkan Ohm,2003,151,7.8
175,"65,066",1,1,176,Giant Jack o Nobore!! Jouzou Iseki no Shitou,2004,156,7.9
176,"62,886",1,1,177,Tetsu no Shiren no Shinkoccyou! Shiruibara Death Match!!,2004,160,8.0
177,"60,476",1,1,178,Hotobashiru Zangeki! Zoro VS Shinkan Ohm!!,2004,161,8.2
178,"60,709",1,1,179,Kuzure Yuku Jousou Iseki! Finale e no Quintet!!,2004,160,8.2
179,"58,336",1,1,180,Kodai Iseki no Taiketsu! God Enel no Mokuteki!!,2004,161,8.4
180,"61,519",1,1,181,Fairy Vearth e no Yabou Hakobune Maxim!!,2004,157,8.2
181,"55,209",1,1,182,Tsuini Gekitotsu! Kaizoku Luffy VS God Enel!!,2004,173,8.4
182,"57,446",1,1,183,Maxim Fujou! Ugoki Hajimeta Deathpiea!!,2004,164,8.4
183,"63,767",1,1,184,Luffy Rakka! Kami no Sabaki to Nami no Nozomi!!,2004,157,8.0
184,"59,639",1,1,185,Mezameta Futari! Moeru Koi no Kyuushutsu Zensen,2004,164,8.2
185,"66,198",1,1,186,Zetsubou e no Capriccio Semaei Kuru Sora Shima no Shoumetsu!!,2004,156,7.8
186,"67,957",1,1,187,Kane no Ne no Michibiki! Daisenshi to Tankenka no Monogatari,2004,154,7.7
187,"69,128",1,1,188,Jubaku kara no Kaihou! Daisenshi ga Nagashita Namida!!,2004,150,7.7
188,"55,930",2,1,189,Eien no Shinyuu! Oo-unabari ni Hibikuchikai no Kane!!,2004,174,8.3
189,"65,460",1,1,190,Angel-tou Shoumetsu! Raigou Kourin no Kyoufu!!,2004,151,8.0
190,"65,461",1,1,191,Giant Jack o Taose! Dasshutsu e no Saigo no Nozomi,2004,151,8.0
191,"56,887",1,1,192,Kami no Kune no Kiseki! Tenshi no Todoita Love Song,2004,166,8.4
192,"68,012",2,1,193,Tatakai no Shuuen! Tooku Hibiku Hokori Takaki Fantasia,2004,150,7.8
193,"66,855",1,1,194,Ware Koko ni Itaru! Poneglyphs ga Tsumugu Mono,2004,150,7.9
194,"66,793",1,1,195,Iza Seikai e!! Omoi ga Orinasu Saishuu Gakushou,2004,154,7.8
195,"77,786",-,1,196,Hijoujitai Hatsurei! Akumei Takaki Kaisokusen Sennyuu!,2004,143,7.2
196,"75,763",-,1,197,Ryourinin Sanji! Kaigun Shokudou de Shinka Hakki!,2004,141,7.4
197,"79,140",1,1,198,Torawareru Zoro to Chopper Kinkyuu Shittou,2004,143,7.1
198,"75,429",1,1,199,Semaru Kaigun no Sousa mou! Torawareta Futari Me!,2004,142,7.4
199,"74,611",1,1,200,Kesshi no Luffy to Sanji! Kyuushutsu Dai Sakusen!,2004,137,7.6
200,"76,592",1,1,201,Nekketsu Tokubetsu Butai Sansen! Bridge Koubousen!,2004,135,7.5
201,"76,482",1,1,202,Houi Mou Toppa! Dakkan Going Merry Gou,2004,139,7.4
202,"77,072",1,1,203,Kieta Kaizokusen! Yousai Koubou Dai 2 Round,2004,141,7.3
203,"77,161",-,1,204,Ougon Dakkan Sakusen to Waver Kaishuu Sakusen!,2004,137,7.4
204,"75,875",1,1,205,Ichimoudajin Keikaku! Jonathan Jishin no Hisaku,2004,137,7.5
205,"73,179",1,1,206,Saraba Kaigun Yousai! Dasshutsu e no Saigo no Koubou,2004,141,7.6
206,"74,726",-,1,207,Long Ring Long Land no Dai Bouken!,2004,144,7.4
207,"74,069",-,1,208,Foxy Kaizoku Dan to Davy Back!,2004,146,7.4
208,"73,811",-,1,209,Dai Ikkaisen! Gururi Isshuu Doughnut Race,2004,143,7.5
209,"74,363",-,1,210,Gingitsune no Foxy! Mouretsu Bougai Kousei,2004,149,7.3
210,"70,927",-,1,211,Dai 2 Kaisen! Buchi Kome Groggy Ring,2004,152,7.5
211,"70,764",-,1,212,Red Card Renpatsu! Groggy Ring,2004,145,7.7
212,"76,369",-,1,213,Dai Sankaisen! Guru Guru Roller Race!,2004,143,7.3
213,"73,902",-,1,214,Hakunetsu Bakusou Race! Saishuu Round Totsunyuu!,2004,139,7.6
214,"78,399",-,1,215,Unaru Netsukyuu Goukyuu! Kaizoku Dodgeball!,2005,145,7.1
215,"78,146",-,1,216,Dangai no Kessen! Daruma-san ga Koronda!,2005,146,7.1
216,"74,742",-,1,217,Captain Taiketsu! Saishuusen Combat!,2005,152,7.2
217,"74,364",-,1,218,Zenkai Noro Noro Kougeki VS Fujimi no Luffy,2005,149,7.3
218,"72,241",-,1,219,Souzetsu Nettou Combat! Unmei no Saishuu Kecchaku,2005,144,7.6
219,"79,032",-,1,220,Ushinatta? Ubawareta? Omae wa Dare Da?,2005,132,7.4
220,"82,396",-,1,221,Fue o Idaita Nazo no Shounen to Robin no Suiri!,2005,134,7.1
221,"83,902",-,1,222,Iza Kioku o Dakkan Seyo! Kaizoku Dan Shima ni Jouriku,2005,138,6.9
222,"80,754",-,1,223,Kiba o Muku Zoro! Tachihadakatta Yajuu!,2005,131,7.3
223,"85,086",-,1,224,Honjou o Awarashita Kioku Dorobou no Saigo Gyakushuu,2005,131,7.0
224,"85,770",-,1,225,Hokori takaki otoko! Gin Gitsune no Foxy,2005,137,6.8
225,"85,035",-,1,226,Mottomo Muteki ni Tsuyoi Yatsu? Tomottomo Kiken na Otoko!,2005,139,6.8
226,"59,969",2,1,227,Kaigun Honbu Taishou Aokiji! Saikou Senryoku no Kyoui,2005,159,8.3
227,"65,459",-,1,228,Gomu to Koori no Ikkiuchi! Luffy vs Aokiji,2005,151,8.0
228,"70,943",1,1,229,Shissou Umi Ressha to Mizu no Toshi Water Seven,2005,148,7.6
229,"70,434",1,1,230,Suijou Toshi no Bouken! Mokushise Kyodai Zousen Koujou,2005,146,7.7
230,"70,435",1,1,231,Franky ikka to Iceberg san!,2005,146,7.7
231,"70,060",1,1,232,Garera Company! Soukan Ichiban Dock,2005,147,7.7
232,"70,331",1,1,233,Kaizoku Yuukai Jiken to Shi o Matsu Dake no Kaizokusen,2005,150,7.6
233,"56,635",1,1,234,Nakama Kyuushutsu! Harikomi Franky House,2005,167,8.4
234,"48,566",4,1,235,Gekka no Oogenka! Kanashimi ni Hirugaeru Kaizokuki!,2005,196,8.6
235,"38,566",7,1,236,Luffy VS Usopp! Butsukaru Otoko no Iji,2005,249,8.9
236,"69,489",-,1,237,Genkishin Mizu no Toshi! Nerawareta Iceberg,2005,145,7.8
237,"67,252",-,1,238,Gomu Gomu Ningen VS Ka o Fuku Cyborg,2005,145,8.0
238,"69,223",-,1,239,Hannin wa Mugiwara Kaizukudan? Mizu no Toshi Youjinbou,2005,146,7.8
239,"70,503",-,1,240,Eien no Wakare? Yamo o Hiku Onna Nico Robin,2005,142,7.8
240,"71,651",-,1,241,Robin o Tsukamaero! Mugiwara Ichimi no Ketsui,2005,142,7.7
241,"67,886",-,1,242,Aizu wa Hougeki to Tomoni! Ugokidashita CP9,2005,143,8.0
242,"60,316",2,1,243,Kamen o Totta CP9! Sono Odoroki no Sugao,2005,154,8.4
243,"61,872",-,1,244,Himeta Kizuna! Iceberg to Franky,2005,152,8.3
244,"63,317",-,1,245,Kaete Koi Robin! CP9 to no Taiketsu!,2005,151,8.2
245,"68,480",-,1,246,Mugiwara Kaizoku Dan Zenmetsu? Model Leopard no Kyoui,2005,141,8.0
246,"69,626",-,1,247,Fune kara mo Aisareta Otoko! Usopp no Namida!,2005,141,7.9
247,"66,631",-,1,248,Franky no Kako! Umi ressha ga Hashitta Hi,2005,147,8.0
248,"66,044",-,1,249,Spandum no Inbou! Umi Ressha ga Yureta Hi,2005,149,8.0
249,"62,118",-,1,250,Densetsu no Otoko no Saigo! Umi Ressha ga Naita Hi,2005,155,8.2
250,"62,808",-,1,251,Uragiri no Shinsou! Robin no Kanashiki Ketsui!,2005,149,8.3
251,"70,919",-,1,252,Nakama o Hikihanasu Kiteki! Hashiridasu Umi Ressha,2005,137,7.9
252,"71,318",-,1,253,Sanji Totsunyuu! Arashi no Naka no Umiressha Battle!,2005,143,7.7
253,"66,339",1,1,254,Nami Tamashii no Sakebi! Mugiwara no Luffy Fukkatsu!,2006,148,8.0
254,"68,194",1,1,255,Mou Hitotsu no Umi Ressha! Rocketman Shutsugeki,2006,142,8.0
255,"68,104",1,1,256,Nakama o Sukue! Tekidoushi ga Musunda Chikai no Kizuna!,2006,146,7.9
256,"66,431",1,1,257,Nami o Kudake! Luffy to Zoro no Saikyou Combo,2006,144,8.1
257,"63,894",1,1,258,Nazo no Otoko Toujou!? Sono Na wa Sogeking!,2006,149,8.2
258,"74,239",1,1,259,Kokku Taiketsu! Sanji vs Ramen Kenpou,2006,138,7.6
259,"71,775",1,1,260,Yane no Ue no Kettou! Franky VS Nero,2006,138,7.8
260,"68,479",1,1,261,Gekitotsu! Onigiri Zoro VS Funekiri T-Bone,2006,141,8.0
261,"63,116",1,1,262,Robin Soudatsusen! Sogeking no Kisaku!!,2006,148,8.3
262,"66,134",1,1,263,Shihou no shima! Enies Lobby!,2006,145,8.1
263,"66,133",1,1,264,Jouriku Sakusen Shidou! Mugiwara Ichimi Totsunyuu Seyo!,2006,145,8.1
264,"65,723",1,1,265,Luffy Kaishingeki! Shihou no Shima de Daikessen!!,2006,150,8.0
265,"68,411",1,1,266,Kyojinzoku to no Koubou! Daini no Tobira o Akero!,2006,145,7.9
266,"66,432",1,1,267,Katsuro o Hirake! Sora o Tobu Rocketman!,2006,144,8.1
267,"65,834",1,1,268,Luffy ni Oitsuke! Mugiwara Ichimi Souryokusen,2006,146,8.1
268,"66,135",1,1,269,Uragirareta Robin! Sekai Seifu no Omowaku!,2006,145,8.1
269,"61,035",2,1,270,Robin o Kaese! Luffy VS Blueno!,2006,155,8.3
270,"67,250",1,1,271,Tachidomaru na! Hangeki no Noroshi o Agero!,2006,145,8.0
271,"63,315",1,1,272,Luffy Mokuzen! Saibansho Mae hiroba e Shuuketsu Seyo,2006,151,8.2
