Character,Devil Fruit,Class,Subclass,Awakened,Status
Queen,"Ryu Ryu no Mi, Model: Brachiosaurus",Zoan,Ancient Zoan,No,Consumed
Rabbit gifter (chapter 916),Rabbit SMILE,SMILE,Artificial Zoan,No,Consumed
Rob Lucci,"Neko Neko no Mi, Model: Leopard",Zoan,Carnivorous Zoan,No,Consumed
Sabo,Mera Mera no Mi,Logia,Regular Logia,No,Consumed
Sakazuki,Magu Magu no Mi,Logia,Regular Logia,No,Consumed
Saki,(unnamed),Failed SMILE,Failed Artificial Zoan,No,Consumed
Sanjuan Wolf,(unnamed),Paramecia,Regular Paramecia,No,Consumed
Scratchmen Apoo,(unnamed),Paramecia,Regular Paramecia,No,Consumed
Sea Urchin gifter (chapter 810),Sea Urchin SMILE,SMILE,Artificial Zoan,No,Consumed
Sengoku,"Hito Hito no Mi, Model: Daibutsu",Zoan,Mythical Zoan,No,Consumed
Senor Pink,Sui Sui no Mi,Paramecia,Regular Paramecia,No,Consumed
Sharinguru,Shari Shari no Mi,Paramecia,Regular Paramecia,No,Consumed
Sheepshead,Sheep SMILE,SMILE,Artificial Zoan,No,Consumed
Shiki,Fuwa Fuwa no Mi,Paramecia,Regular Paramecia,No,Consumed
Shimotsuki Yasuie,(unnamed),Failed SMILE,Failed Artificial Zoan,No,Consumed
Shinobu,Juku Juku no Mi,Paramecia,Regular Paramecia,No,Consumed
Shiryu,Suke Suke no Mi,Paramecia,Regular Paramecia,No,Consumed
Shu,Sabi Sabi no Mi,Paramecia,Regular Paramecia,No,Consumed
Smiley,"Sara Sara no Mi, Model: Axolotl",Zoan,Regular Zoan,No,Free
Smoker,Moku Moku no Mi,Logia,Regular Logia,No,Consumed
Snake teacher (chapter 919),Snake SMILE,SMILE,Artificial Zoan,No,Consumed
Solitaire,Monkey SMILE,SMILE,Artificial Zoan,No,Consumed
Speed,Horse SMILE,SMILE,Artificial Zoan,No,Consumed
Stag Beetle gifter (chapter 810),Stag Beetle SMILE,SMILE,Artificial Zoan,No,Consumed
Streusen,Kuku Kuku no Mi,Paramecia,Regular Paramecia,No,Consumed
Sugar,Hobi Hobi no Mi,Paramecia,Regular Paramecia,No,Consumed
Tama (Human),(unnamed),Paramecia,Regular Paramecia,No,Consumed
Tamago,Tama Tama no Mi,(undetermined),(undetermined),No,Consumed
Toko,(unnamed),Failed SMILE,Failed Artificial Zoan,No,Consumed
Tony Tony Chopper,Hito Hito no Mi,Zoan,Regular Zoan,No,Consumed
Trafalgar D. Water Law,Ope Ope no Mi,Paramecia,Regular Paramecia,No,Consumed
Trebol,Beta Beta no Mi,Paramecia,Regular Paramecia,No,Consumed
Tsuru (Marine),Woshu Woshu no Mi,Paramecia,Regular Paramecia,No,Consumed
Urouge,(unnamed),Paramecia,Regular Paramecia,No,Consumed
Vander Decken IX,Mato Mato no Mi,Paramecia,Regular Paramecia,No,Consumed
Very Good,Beri Beri no Mi,Paramecia,Regular Paramecia,No,Consumed
Viola,Giro Giro no Mi,Paramecia,Regular Paramecia,No,Consumed
Wapol,Baku Baku no Mi,Paramecia,Regular Paramecia,No,Consumed
Wolf gifter (chapter 809),Wolf SMILE,SMILE,Artificial Zoan,No,Consumed
Wolf gifter (chapter 943) #1,Wolf SMILE,SMILE,Artificial Zoan,No,Consumed
Wolf gifter (chapter 943) #2,Wolf SMILE,SMILE,Artificial Zoan,No,Consumed
X Drake,"Ryu Ryu no Mi, Model: Allosaurus",Zoan,Ancient Zoan,No,Consumed
Zala,Toge Toge no Mi,Paramecia,Regular Paramecia,No,Consumed
