Name,Type,Level,Race,Attribute,ATK,DEF
Thunder End Dragon,XYZ Monster,8,Dragon,LIGHT,3000,2000
Atlantean Marksman,Effect Monster,3,Sea Serpent,WATER,1400,0
Amazoness Village,Spell Card,,Field,,,
Temple of Skulls,Normal Monster,4,Zombie,DARK,900,1300
"Rubic, Malebranche of the Burning Abyss",Tuner Monster,3,Fiend,DARK,100,2100
Doron,Normal Monster,2,Warrior,EARTH,900,500
Hiita the Fire Charmer,Flip Effect Monster,3,Spellcaster,FIRE,500,1500
Empress of Prophecy,XYZ Monster,5,Spellcaster,LIGHT,2000,1700
Super Soldier Shield,Trap Card,,Counter,,,
Number Wall,Trap Card,,Continuous,,,
Dragunity Arma Mystletainn,Effect Monster,6,Dragon,WIND,2100,1500
Dragunity Knight - Gae Bulg,Synchro Monster,6,Dragon,WIND,2000,1100
Vertical Landing,Spell Card,,Quick-Play,,,
Unexpected Dai,Spell Card,,Normal,,,
Gagagatag,Spell Card,,Normal,,,
Geargiarmor,Effect Monster,4,Machine,EARTH,1100,1900
Penalty Game!,Trap Card,,Normal,,,
Armed Dragon LV3,Effect Monster,3,Dragon,WIND,1200,900
Half Unbreak,Trap Card,,Normal,,,
Rebound,Trap Card,,Counter,,,
Expressroid,Effect Monster,4,Machine,EARTH,400,1600
Doggy Diver,Effect Monster,4,Warrior,DARK,1000,1000
Starlight Junktion,Spell Card,,Field,,,
Void Trap Hole,Trap Card,,Normal,,,
Junk Changer,Tuner Monster,3,Warrior,EARTH,1500,900
Painful Decision,Spell Card,,Normal,,,
Misfortune,Spell Card,,Normal,,,
Geargiano Mk-II,Effect Monster,3,Machine,EARTH,1000,500
Satellarknight Unukalhai,Effect Monster,4,Warrior,LIGHT,1800,1000
Scrapyard,Spell Card,,Normal,,,
Magic Planter,Spell Card,,Normal,,,
Pyro Clock of Destiny,Trap Card,,Normal,,,
Dark Mimic LV3,Effect Monster,3,Fiend,DARK,1000,1000
Sargasso the D.D. Battlefield,Spell Card,,Field,,,
Deck Lockdown,Spell Card,,Continuous,,,
Paleozoic Leanchoilia,Trap Card,,Normal,,,
Kojikocy,Normal Monster,4,Warrior,EARTH,1500,1200
Mirror of Yata,Spell Card,,Equip,,,
Malevolent Catastrophe,Trap Card,,Normal,,,
Chain Destruction,Trap Card,,Normal,,,
Herald of Pure Light,XYZ Monster,2,Fairy,LIGHT,600,1000
Gem-Knight Fusion,Spell Card,,Normal,,,
Kozmo Soartroopers,Effect Monster,3,Psychic,DARK,1000,1000
Vylon Tetra,Tuner Monster,2,Machine,LIGHT,900,900
Prime Material Falcon,Effect Monster,5,Winged Beast,WIND,2200,800
T.G. Striker,Tuner Monster,2,Warrior,EARTH,800,0
Mysterious Guard,Flip Effect Monster,3,Spellcaster,EARTH,800,1200
"Valhalla, Hall of the Fallen",Spell Card,,Continuous,,,
Ronintoadin,Effect Monster,2,Aqua,WATER,100,2000
Photon Crusher,Effect Monster,4,Warrior,LIGHT,2000,0
Vampire Koala,Effect Monster,4,Beast,EARTH,1800,1500
Shared Ride,Spell Card,,Quick-Play,,,
Hazy Flame Sphynx,Effect Monster,6,Beast-Warrior,FIRE,1900,1900
Super Roboyarou,Fusion Monster,6,Machine,EARTH,1200,500
Phantom Token,Token,,Fiend,,,
Chaos Necromancer,Effect Monster,1,Fiend,DARK,0,0
Dragon Treasure,Spell Card,,Equip,,,
Bee List Soldier,Effect Monster,1,Insect,WIND,500,400
Allure of Darkness,Spell Card,,Normal,,,
Kagemusha of the Six Samurai,Tuner Monster,2,Warrior,EARTH,400,1800
Rune-Eyes Pendulum Dragon,Fusion Monster,8,Dragon,DARK,3000,2000
The Hunter with 7 Weapons,Effect Monster,3,Warrior,EARTH,1000,600
R-Genex Magma,Effect Monster,3,Pyro,FIRE,1000,200
Space Gift,Spell Card,,Normal,,,
Cyber End Dragon,Fusion Monster,10,Machine,LIGHT,4000,2800
Cyber End Dragon,Fusion Monster,10,Machine,LIGHT,4000,2800
"Rose, Warrior of Revenge",Tuner Monster,4,Warrior,FIRE,1600,600
Silver Bow and Arrow,Spell Card,,Equip,,,
ABC-Dragon Buster,Fusion Monster,8,Machine,LIGHT,3000,2800
White Ninja,Flip Effect Monster,4,Warrior,LIGHT,1500,800
Deep-Space Cruiser IX,Effect Monster,9,Machine,LIGHT,900,900
Dimension Fortress Weapon,Effect Monster,4,Machine,DARK,1700,200
Dark Requiem Xyz Dragon,XYZ Monster,5,Dragon,DARK,3000,2500
Grand Horn of Heaven,Trap Card,,Counter,,,
Divine Dragon Knight Felgrand,XYZ Monster,8,Warrior,LIGHT,2800,1800
Fusionist,Fusion Monster,3,Beast,EARTH,900,700
Vylon Segment,Spell Card,,Equip,,,
Brotherhood of the Fire Fist - Spirit,Tuner Monster,3,Beast-Warrior,FIRE,500,200
Spell Purification,Trap Card,,Normal,,,
Ultimaya Tzolkin,Synchro Monster,12,Dragon,DARK,0,0
The Big March of Animals,Spell Card,,Quick-Play,,,
PSY-Framegear Epsilon,Tuner Monster,2,Psychic,LIGHT,1500,0
Malefic Cyber End Dragon,Effect Monster,10,Machine,DARK,4000,2800
Nekogal 1,Normal Monster,3,Beast,EARTH,1100,900
Fuh-Rin-Ka-Zan,Trap Card,,Normal,,,
Uraby,Normal Monster,4,Dinosaur,EARTH,1500,800
The Eye of Timaeus,Spell Card,,Normal,,,
Centrifugal Field,Spell Card,,Field,,,
Sealing Ceremony of Mokuton,Trap Card,,Continuous,,,
Dark Coffin,Trap Card,,Normal,,,
Toy Knight,Effect Monster,4,Machine,EARTH,200,1200
Shadow of the Six Samurai - Shien,XYZ Monster,4,Warrior,EARTH,2500,400
Heroic Challenger - Thousand Blades,Effect Monster,4,Warrior,EARTH,1300,1100
Wattcine,Spell Card,,Continuous,,,
Overdrive Teleporter,Effect Monster,6,Psychic,LIGHT,2100,1200
Instant Fusion,Spell Card,,Normal,,,
Bujintei Kagutsuchi,XYZ Monster,4,Beast-Warrior,LIGHT,2500,2000
Dimension Explosion,Spell Card,,Quick-Play,,,
Minor Goblin Official,Trap Card,,Continuous,,,
Key Mace,Normal Monster,1,Fairy,LIGHT,400,300
Elemental HERO Nova Master,Fusion Monster,8,Warrior,FIRE,2600,2100
Ancient Gear Engineer,Effect Monster,5,Machine,EARTH,1500,1500
Mokey Mokey Smackdown,Spell Card,,Continuous,,,
Puppet Ritual,Spell Card,,Normal,,,
Silent Swordsman LV3,Effect Monster,3,Warrior,LIGHT,1000,1000
Blackwing - Gale the Whirlwind,Tuner Monster,3,Winged Beast,DARK,1300,400
Hidden Soldiers,Trap Card,,Normal,,,
Time-Space Trap Hole,Trap Card,,Normal,,,
Gladiator Beast Lanista,Effect Monster,4,Winged Beast,WIND,1800,1200
Wetlands,Spell Card,,Field,,,
Worm Victory,Flip Effect Monster,7,Reptile,LIGHT,0,2500
Constellar Praesepe,XYZ Monster,4,Machine,LIGHT,2400,800
"Bixi, Water of the Yang Zing",Effect Monster,2,Wyrm,WATER,0,2000
Smile World,Spell Card,,Normal,,,
XY-Dragon Cannon,Fusion Monster,6,Machine,LIGHT,2200,1900
Hyosube,Normal Monster,4,Aqua,WATER,1500,900
Trap Reclamation,Trap Card,,Normal,,,
Blue-Eyes Twin Burst Dragon,Fusion Monster,10,Dragon,LIGHT,3000,2500
Numinous Healer,Trap Card,,Normal,,,
Asura Priest,Spirit Monster,4,Fairy,LIGHT,1700,1200
Meklord Army of Granel,Effect Monster,4,Machine,EARTH,1600,1200
Armor Ninjitsu Art of Rust Mist,Trap Card,,Continuous,,,
Cyber Prima,Effect Monster,6,Warrior,LIGHT,2300,1600
Night Papilloperative,XYZ Monster,4,Warrior,DARK,2600,2000
Gambler of Legend,Effect Monster,4,Spellcaster,DARK,500,1400
XX-Saber Hyunlei,Synchro Monster,6,Warrior,EARTH,2300,1300
Book of Life,Spell Card,,Normal,,,
Morphtronic Staplen,Effect Monster,4,Machine,EARTH,1400,1000
Satellarknight Altair,Effect Monster,4,Warrior,LIGHT,1700,1300
One for One,Spell Card,,Normal,,,
Symbol of Friendship,Spell Card,,Normal,,,
Overdrive,Normal Monster,4,Machine,EARTH,1600,1500
Dark Magic Attack,Spell Card,,Normal,,,
Princess Curran,Effect Monster,4,Spellcaster,DARK,2000,0
Road Warrior,Synchro Monster,8,Warrior,LIGHT,3000,1500
Des Lacooda,Effect Monster,3,Zombie,EARTH,500,600
Tyr of the Nordic Champions,Effect Monster,4,Warrior,LIGHT,2000,2000
Great Long Nose,Spirit Monster,5,Beast-Warrior,DARK,1900,1700
Pendulum Area,Trap Card,,Normal,,,
Light of Redemption,Spell Card,,Normal,,,
Steel Shell,Spell Card,,Equip,,,
Xyz Reflect,Trap Card,,Counter,,,
Paleozoic Eldonia,Trap Card,,Normal,,,
Neo Flamvell Hedgehog,Tuner Monster,3,Pyro,FIRE,800,200
Steel Cavalry of Dinon,Pendulum Effect Monster,4,Dinosaur,EARTH,1600,2600
Power Tool Dragon,Synchro Monster,7,Machine,EARTH,2300,2500
Laval Volcano Handmaiden,Tuner Monster,1,Pyro,FIRE,100,200
"Shire, Lightsworn Spirit",Effect Monster,3,Fairy,LIGHT,400,1400
Marauding Captain,Effect Monster,3,Warrior,EARTH,1200,400
Inzektor Ladybug,Effect Monster,2,Insect,DARK,500,100
Sealmaster Meisei,Normal Monster,3,Spellcaster,DARK,1100,900
Water Omotics,Normal Monster,4,Aqua,WATER,1400,1200
Skull Knight,Fusion Monster,7,Spellcaster,DARK,2650,2250
Legendary Six Samurai - Kageki,Effect Monster,3,Warrior,WIND,200,2000
Sky Galloping Gaia the Dragon Champion,Fusion Monster,7,Dragon,WIND,2600,2100
Brotherhood of the Fire Fist - Swallow,Effect Monster,5,Beast-Warrior,FIRE,2000,800
"Defender, the Magical Knight",Effect Monster,4,Spellcaster,LIGHT,1600,2000
Galaxy-Eyes Cipher Blade Dragon,XYZ Monster,9,Dragon,LIGHT,3200,2800
Red Cocoon,Trap Card,,Normal,,,
Majespecter Tempest,Trap Card,,Counter,,,
Shocktopus,Effect Monster,4,Fish,WATER,1600,800
Wizard Buster Destruction Sword,Effect Monster,3,Spellcaster,DARK,1200,900
Photon Chargeman,Effect Monster,4,Warrior,LIGHT,1000,1000
Gladiator Beast Samnite,Effect Monster,3,Beast,EARTH,1600,1200
ZW - Sleipnir Mail,Effect Monster,4,Beast,LIGHT,1000,1000
Hyper Hammerhead,Effect Monster,4,Dinosaur,EARTH,1500,1200
Medusa Worm,Effect Monster,2,Rock,EARTH,500,600
Fluffal Cat,Effect Monster,1,Fairy,EARTH,700,300
Decoy Dragon,Effect Monster,2,Dragon,FIRE,300,200
Crystron Phoenix,Synchro Monster,9,Machine,WATER,2800,2000
Graydle Impact,Spell Card,,Continuous,,,
Daigusto Phoenix,XYZ Monster,2,Pyro,WIND,1500,1100
Wattchimera,Synchro Monster,6,Thunder,LIGHT,1400,1200
Wall of Thorns,Trap Card,,Normal,,,
Majesty with Eyes of Blue,Spell Card,,Quick-Play,,,
Servant of Catabolism,Effect Monster,3,Aqua,LIGHT,700,500
PSY-Framegear Beta,Tuner Monster,1,Psychic,LIGHT,700,0
Flame Viper,Normal Monster,2,Pyro,EARTH,400,450
Rainbow Kuriboh,Effect Monster,1,Fiend,LIGHT,100,100
D. Tribe,Trap Card,,Normal,,,
Nimble Sunfish,Effect Monster,2,Fish,WATER,1000,100
Reflect Bounder,Effect Monster,4,Machine,LIGHT,1700,1000
Tribute Doll,Spell Card,,Normal,,,
Grappler,Normal Monster,4,Reptile,WATER,1300,1200
Karakuri Cash Shed,Trap Card,,Counter,,,
Curse of Royal,Trap Card,,Counter,,,
Gogogo Golem - Golden Form,Effect Monster,4,Rock,EARTH,0,1500
Naturia Barkion,Synchro Monster,6,Dragon,EARTH,2500,1800
Wicked Dragon with the Ersatz Head,Normal Monster,3,Dragon,WIND,900,900
Ryu-Ran,Normal Monster,7,Dragon,FIRE,2200,2600
Orion the Battle King,Normal Monster,5,Fairy,LIGHT,1800,1500
Consecrated Light,Effect Monster,1,Fairy,LIGHT,0,0
Twilight Rose Knight,Tuner Monster,3,Warrior,DARK,1000,1000
Cyberdark Keel,Effect Monster,4,Machine,DARK,800,800
Fake Trap,Trap Card,,Normal,,,
Test Ape,Effect Monster,2,Beast,EARTH,700,300
Trap of Board Eraser,Trap Card,,Counter,,,
Invader of the Throne,Flip Effect Monster,4,Warrior,EARTH,1350,1700
Superheavy Samurai Soulbang Cannon,Effect Monster,3,Machine,EARTH,1000,1000
Snow Dragon,Effect Monster,4,Dragon,WATER,1400,900
Return Zombie,Effect Monster,4,Zombie,DARK,1000,1600
Blackwing - Hillen the Tengu-wind,Tuner Monster,5,Winged Beast,DARK,0,2300
Yata-Garasu,Spirit Monster,2,Fiend,WIND,200,100
Brilliant Spark,Trap Card,,Normal,,,
Gem-Knight Seraphinite,Fusion Monster,5,Fairy,EARTH,2300,1400
Superheavy Samurai Big Benkei,Effect Monster,8,Machine,EARTH,1000,3500
Tiki Curse,Trap Card,,Continuous,,,
Flying Kamakiri 2,Normal Monster,4,Insect,WIND,1500,800
Level Limit - Area B,Spell Card,,Continuous,,,
Psychic Reactor,Trap Card,,Normal,,,
Tutan Mask,Trap Card,,Counter,,,
Exchange of Night and Day,Trap Card,,Continuous,,,
Puppet King,Effect Monster,7,Warrior,EARTH,2800,2600
Takuhee,Normal Monster,4,Winged Beast,WIND,1450,1000
Chain Dispel,Trap Card,,Normal,,,
Worm Solid,Effect Monster,4,Reptile,LIGHT,1000,1600
Forbidden Apocrypha,Trap Card,,Normal,,,
Shield Spear,Trap Card,,Normal,,,
Sixth Sense,Trap Card,,Normal,,,
Evoltile Lagosucho,Effect Monster,3,Reptile,FIRE,1200,500
The Phantom Knights' Rank-Up-Magic Launch,Spell Card,,Quick-Play,,,
Hieratic Dragon of Su,Effect Monster,6,Dragon,LIGHT,2200,1000
Alligator's Sword Dragon,Fusion Monster,5,Dragon,WIND,1700,1500
Cyber Phoenix,Effect Monster,4,Machine,FIRE,1200,1600
Gravekeeper's Priestess,Effect Monster,3,Spellcaster,DARK,1000,1500
Mozarta the Melodious Maestra,Effect Monster,8,Fairy,LIGHT,2600,2000
C-Crush Wyvern,Union Effect Monster,4,Machine,LIGHT,1200,2000
"Buster Blader, the Destruction Swordmaster",Effect Monster,7,Warrior,EARTH,2600,2300
Drill Warrior,Synchro Monster,6,Warrior,EARTH,2400,2000
Assault Beast,Effect Monster,4,Beast-Warrior,EARTH,1900,1200
Insect Armor with Laser Cannon,Spell Card,,Equip,,,
Dicephoon,Spell Card,,Quick-Play,,,
Don Turtle,Effect Monster,3,Reptile,WATER,1100,1200
Stealth Bird,Effect Monster,3,Winged Beast,DARK,700,1700
Coach Soldier Wolfbark,Effect Monster,4,Beast-Warrior,FIRE,1600,1200
Evilswarm Zahak,Effect Monster,4,Dragon,DARK,1850,850
Dice Jar,Flip Effect Monster,3,Rock,LIGHT,200,300
White Duston,Normal Monster,1,Fiend,LIGHT,0,1000
Swordsman of Landstar,Normal Monster,3,Warrior,EARTH,500,1200
Crystolic Potential,Spell Card,,Field,,,
Merlin,Effect Monster,3,Spellcaster,DARK,1400,500
Shreddder,Effect Monster,4,Machine,EARTH,1600,1000
One Who Hunts Souls,Normal Monster,4,Beast-Warrior,EARTH,1100,1000
Gagaga Girl,Effect Monster,3,Spellcaster,DARK,1000,800
Skull Guardian,Ritual Monster,7,Warrior,LIGHT,2050,2500
Cyber Angel Idaten,Ritual Effect Monster,6,Fairy,LIGHT,1600,2000
Elemental HERO Great Tornado,Fusion Monster,8,Warrior,WIND,2800,2200
The Legendary Fisherman,Effect Monster,5,Warrior,WATER,1850,1600
Ally of Justice Searcher,Effect Monster,3,Machine,DARK,1400,100
Cyber Valley,Effect Monster,1,Machine,LIGHT,0,0
Overload Fusion,Spell Card,,Normal,,,
Double Snare,Spell Card,,Normal,,,
Dark Cure,Trap Card,,Continuous,,,
Shaddoll Beast,Flip Effect Monster,5,Spellcaster,DARK,2200,1700
Water Element,Normal Monster,3,Aqua,WATER,900,700
Naturia Sacred Tree,Trap Card,,Continuous,,,
D.D. Scout Plane,Effect Monster,2,Machine,DARK,800,1200
Indiora Doom Volt the Cubic Emperor,Effect Monster,4,Fairy,LIGHT,0,0
Rampaging Rhynos,Effect Monster,3,Beast-Warrior,EARTH,1500,1500
Slot Machine,Normal Monster,7,Machine,DARK,2000,2300
Monk Fighter,Effect Monster,3,Rock,EARTH,1300,1000
Skypalace Gangaridai,XYZ Monster,10,Machine,WIND,3400,3000
Seven Tools of the Bandit,Trap Card,,Counter,,,
Gravekeeper's Visionary,Effect Monster,8,Spellcaster,DARK,2000,1800
Fluffal Bear,Effect Monster,3,Fairy,EARTH,1200,800
TGX3-DX2,Trap Card,,Normal,,,
Psychic Tuning,Trap Card,,Continuous,,,
Super Vehicroid - Stealth Union,Fusion Monster,9,Machine,EARTH,3600,3000
Absorbing Jar,Flip Effect Monster,3,Rock,EARTH,600,500
The Tripper Mercury,Effect Monster,8,Aqua,WATER,2000,2000
Magical Reflect Slime,Gemini Monster,3,Aqua,WATER,700,1200
Felgrand Dragon,Effect Monster,8,Dragon,LIGHT,2800,2800
Flower Cardian Boardefly,Synchro Monster,6,Warrior,DARK,2000,2000
Greed Grado,Spell Card,,Quick-Play,,,
Lucky Trinket,Normal Monster,2,Spellcaster,LIGHT,600,800
Lavalval Ignis,XYZ Monster,3,Warrior,FIRE,1800,1400
Hieratic Dragon of Eset,Effect Monster,5,Dragon,LIGHT,1900,1200
Change of Heart,Spell Card,,Normal,,,
Shapesnatch,Normal Monster,5,Machine,DARK,1200,1700
Ninja Grandmaster Sasuke,Effect Monster,4,Warrior,LIGHT,1800,1000
Island Turtle,Normal Monster,4,Aqua,WATER,1100,2000
Evilswarm Salamandra,Effect Monster,4,Dinosaur,DARK,1850,950
Zombie World,Spell Card,,Field,,,
Blackwing - Aurora the Northern Lights,Effect Monster,10,Winged Beast,LIGHT,0,0
The Second Sarcophagus,Spell Card,,Continuous,,,
Performage Stilts Launcher,Effect Monster,6,Spellcaster,EARTH,2200,0
Chaos Infinity,Trap Card,,Normal,,,
G.B. Hunter,Effect Monster,4,Warrior,EARTH,1200,2000
Djinn Prognosticator of Rituals,Effect Monster,3,Fiend,DARK,400,300
Zoodiac Ramram,Effect Monster,4,Beast-Warrior,EARTH,400,2000
Goblin Fan,Trap Card,,Continuous,,,
Cyber Laser Dragon,Effect Monster,7,Machine,LIGHT,2400,1800
Cards for Black Feathers,Spell Card,,Normal,,,
Raigeki Break,Trap Card,,Normal,,,
Ancient Pixie Dragon,Synchro Monster,7,Dragon,DARK,2100,3000
Queen of Autumn Leaves,Normal Monster,5,Plant,EARTH,1800,1500
"Eco, Mystical Spirit of the Forest",Effect Monster,4,Plant,EARTH,1700,1000
Trap Hole,Trap Card,,Normal,,,
Shrine of Mist Valley,Spell Card,,Field,,,
Mistaken Arrest,Spell Card,,Quick-Play,,,
Psi-Station,Spell Card,,Continuous,,,
Performapal Turn Toad,Pendulum Effect Monster,2,Aqua,WATER,0,800
Mermaid Archer,Effect Monster,3,Sea Serpent,WATER,1200,200
Gladiator Beast Hoplomus,Effect Monster,4,Rock,EARTH,700,2100
Spell Economics,Spell Card,,Continuous,,,
Kiseitai,Effect Monster,2,Fiend,DARK,300,800
Splendid Rose,Synchro Monster,6,Plant,WIND,2200,2000
Shiranui Style Swallow's Slash,Trap Card,,Normal,,,
Scrap Recycler,Effect Monster,3,Machine,EARTH,900,1200
"Sophia, Goddess of Rebirth",Effect Monster,11,Fairy,DARK,3600,3400
Newdoria,Effect Monster,4,Fiend,DARK,1200,800
Chronomaly City Babylon,Spell Card,,Field,,,
Zoodiac Bunnyblast,Effect Monster,4,Beast-Warrior,EARTH,800,800
Familiar-Possessed - Hiita,Effect Monster,4,Spellcaster,FIRE,1850,1500
Leo Wizard,Normal Monster,5,Spellcaster,EARTH,1350,1200
The Dragon Dwelling in the Deep,Effect Monster,4,Sea Serpent,WATER,1700,1400
Mecha Phantom Beast Blackfalcon,Effect Monster,4,Machine,WIND,1200,1700
M-X-Saber Invoker,XYZ Monster,3,Warrior,EARTH,1600,500
Drastic Drop Off,Trap Card,,Counter,,,
Ancient Gear Explosive,Spell Card,,Normal,,,
Qlimate Change,Trap Card,,Normal,,,
Venom Burn,Trap Card,,Normal,,,
SPYRAL GEAR - Drone,Effect Monster,1,Machine,WIND,100,100
Prepare to Strike Back,Trap Card,,Continuous,,,
Yellow Luster Shield,Spell Card,,Continuous,,,
Meklord Emperor Granel,Effect Monster,1,Machine,EARTH,0,0
Xyz Territory,Spell Card,,Field,,,
Battlin' Boxer Counterpunch,Effect Monster,3,Warrior,FIRE,0,1100
Roaring Earth,Trap Card,,Continuous,,,
Lion Alligator,Effect Monster,4,Reptile,WATER,1900,200
Dark Energy,Spell Card,,Equip,,,
Imperion Magnum the Superconductive Battlebot,Fusion Monster,10,Rock,EARTH,4000,4000
Tyrant's Temper,Trap Card,,Continuous,,,
Card Guard,Effect Monster,4,Fiend,DARK,1600,500
Lightray Gearfried,Effect Monster,8,Warrior,LIGHT,2800,2200
Molten Zombie,Effect Monster,4,Pyro,FIRE,1600,400
Magnetic Field,Spell Card,,Field,,,
Evilswarm Kerykeion,Effect Monster,4,Spellcaster,DARK,1600,1550
Yubel - Terror Incarnate,Effect Monster,11,Fiend,DARK,0,0
"Michael, the Arch-Lightsworn",Synchro Monster,7,Dragon,LIGHT,2600,2000
Superheavy Samurai Soulfire Suit,Effect Monster,2,Machine,FIRE,800,800
Chimera the Flying Mythical Beast,Fusion Monster,6,Beast,WIND,2100,1800
Performage Flame Eater,Effect Monster,4,Spellcaster,FIRE,1200,1600
"Sauravis, the Ancient and Ascended",Ritual Effect Monster,7,Dragon,LIGHT,2600,2800
Constellar Tempest,Spell Card,,Continuous,,,
Performance of Sword,Ritual Monster,6,Warrior,EARTH,1950,1850
Omega Goggles,Spell Card,,Equip,,,
Call of the Mummy,Spell Card,,Continuous,,,
Judgment of the Desert,Trap Card,,Continuous,,,
Spirit of the Pot of Greed,Effect Monster,1,Fairy,LIGHT,100,100
Shaddoll Core,Trap Card,,Continuous,,,
Genex Undine,Effect Monster,3,Aqua,WATER,1200,600
Necro Gardna,Effect Monster,3,Warrior,DARK,600,1300
Souls of the Forgotten,Normal Monster,2,Fiend,DARK,900,200
Chaos Burst,Trap Card,,Normal,,,
Mobius the Frost Monarch,Effect Monster,6,Aqua,WATER,2400,1000
Mountain Warrior,Normal Monster,3,Beast-Warrior,EARTH,600,1000
Shaddoll Hedgehog,Flip Effect Monster,3,Spellcaster,DARK,800,200
Informer Spider,Effect Monster,4,Insect,EARTH,500,1800
Buster Gundil the Cubic Behemoth,Effect Monster,4,Beast,LIGHT,0,0
Prediction Princess Astromorrigan,Flip Effect Monster,3,Fairy,DARK,1300,0
Submersible Carrier Aero Shark,XYZ Monster,3,Fish,WATER,1900,1000
Stellarnova Wave,Trap Card,,Continuous,,,
Spiritual Light Art - Hijiri,Trap Card,,Normal,,,
Aroma Garden,Spell Card,,Field,,,
Battle Tuned,Spell Card,,Quick-Play,,,
Battle Ox,Normal Monster,4,Beast-Warrior,EARTH,1700,1000
Dinomist Spinos,Pendulum Effect Monster,5,Machine,WATER,2500,1800
Neos Wiseman,Effect Monster,10,Spellcaster,LIGHT,3000,3000
Elemental HERO Marine Neos,Fusion Monster,8,Warrior,WATER,2800,2300
Galaxy Cyclone,Spell Card,,Normal,,,
Majespecter Gust,Trap Card,,Normal,,,
Amulet of Ambition,Spell Card,,Equip,,,
Red-Eyes Zombie Dragon,Effect Monster,7,Zombie,DARK,2400,2000
Super-Nimble Mega Hamster,Flip Effect Monster,4,Beast,EARTH,1100,1800
Vylon Ohm,Effect Monster,4,Fairy,LIGHT,1500,200
Cameraclops,Effect Monster,4,Warrior,LIGHT,1400,1600
Zefra Path,Spell Card,,Continuous,,,
